  Time                 , V(Q1:c)              
  0.000000000000e+000  ,1.292125729869e+000  
  1.000000000000e-008  ,1.292124710197e+000  
  2.000000000000e-008  ,1.292123690524e+000  
  4.000033855438e-008  ,1.292117702819e+000  
  8.000101566315e-008  ,1.292110465347e+000  
  1.600023698807e-007  ,1.292078219039e+000  
  3.200050783157e-007  ,1.291989868736e+000  
  6.400104951859e-007  ,1.291777601700e+000  
  1.280021328926e-006  ,1.291314805151e+000  
  2.280044217110e-006  ,1.290356559148e+000  
  3.280067105293e-006  ,1.289683199087e+000  
  4.280089993477e-006  ,1.288928003285e+000  
  5.280112881660e-006  ,1.288167152189e+000  
  6.280135769844e-006  ,1.287412302808e+000  
  7.280158658028e-006  ,1.286653042370e+000  
  8.280181546211e-006  ,1.285895678791e+000  
  9.280204434395e-006  ,1.285138589744e+000  
  1.028022732258e-005  ,1.284382219350e+000  
  1.128025021076e-005  ,1.283625793536e+000  
  1.228027309895e-005  ,1.282869713250e+000  
  1.328029598713e-005  ,1.282114004893e+000  
  1.428031887531e-005  ,1.281358694855e+000  
  1.528034176350e-005  ,1.280603809476e+000  
  1.628036465168e-005  ,1.279849375106e+000  
  1.728038753986e-005  ,1.279095418036e+000  
  1.828041042805e-005  ,1.278341964557e+000  
  1.928043331623e-005  ,1.277589040916e+000  
  2.028045620441e-005  ,1.276836673351e+000  
  2.128047909260e-005  ,1.276084888042e+000  
  2.228050198078e-005  ,1.275333711168e+000  
  2.328052486897e-005  ,1.274583168857e+000  
  2.428054775715e-005  ,1.273833287220e+000  
  2.528057064533e-005  ,1.273084092318e+000  
  2.628059353352e-005  ,1.272335610193e+000  
  2.728061642170e-005  ,1.271587866832e+000  
  2.828063930988e-005  ,1.270840888214e+000  
  2.928066219807e-005  ,1.270094700258e+000  
  3.028068508625e-005  ,1.269349328855e+000  
  3.128070797443e-005  ,1.268604799844e+000  
  3.228073086262e-005  ,1.267861139045e+000  
  3.328075375080e-005  ,1.267118372207e+000  
  3.428077663898e-005  ,1.266376525074e+000  
  3.528079952717e-005  ,1.265635623309e+000  
  3.628082241535e-005  ,1.264895692563e+000  
  3.728084530354e-005  ,1.264156758406e+000  
  3.828086819172e-005  ,1.263418846401e+000  
  3.928089107990e-005  ,1.262681982037e+000  
  4.028091396809e-005  ,1.261946190755e+000  
  4.128093685627e-005  ,1.261211497962e+000  
  4.228095974445e-005  ,1.260477929001e+000  
  4.328098263264e-005  ,1.259745509164e+000  
  4.428100552082e-005  ,1.259014263706e+000  
  4.528102840900e-005  ,1.258284217805e+000  
  4.628105129719e-005  ,1.257555404320e+000  
  4.728107418537e-005  ,1.256910031507e+000  
  4.828109707356e-005  ,1.256183760889e+000  
  4.928111996174e-005  ,1.255408277990e+000  
  5.028114284992e-005  ,1.254684609668e+000  
  5.128116573811e-005  ,1.254015799778e+000  
  5.228118862629e-005  ,1.253294862696e+000  
  5.328121151447e-005  ,1.252600612916e+000  
  5.428123440266e-005  ,1.251820131119e+000  
  5.528125729084e-005  ,1.251100489880e+000  
  5.628128017902e-005  ,1.250456451978e+000  
  5.728130306721e-005  ,1.249739798325e+000  
  5.828132595539e-005  ,1.248996745037e+000  
  5.928134884357e-005  ,1.248283138817e+000  
  6.028137173176e-005  ,1.247565568454e+000  
  6.128139461994e-005  ,1.246933476670e+000  
  6.228141750813e-005  ,1.246241500953e+000  
  6.328144039631e-005  ,1.245476923080e+000  
  6.428146328449e-005  ,1.244788220462e+000  
  6.528148617268e-005  ,1.244065678160e+000  
  6.628150906086e-005  ,1.243463928473e+000  
  6.728153194904e-005  ,1.242781516989e+000  
  6.828155483723e-005  ,1.242010416852e+000  
  6.928157772541e-005  ,1.241329486404e+000  
  7.028160061359e-005  ,1.240610368469e+000  
  7.128162350178e-005  ,1.240046424275e+000  
  7.228164638996e-005  ,1.239376658118e+000  
  7.328166927814e-005  ,1.238590189779e+000  
  7.428169216633e-005  ,1.237921393149e+000  
  7.528171505451e-005  ,1.237201936927e+000  
  7.628173794270e-005  ,1.236491088242e+000  
  7.728176083088e-005  ,1.236046915033e+000  
  7.828178371906e-005  ,1.235407165297e+000  
  7.928180660725e-005  ,1.234845140183e+000  
  8.028182949543e-005  ,1.233917782801e+000  
  8.128185238361e-005  ,1.232984464922e+000  
  8.228187527180e-005  ,1.232879781169e+000  
  8.328189815998e-005  ,1.232021437028e+000  
  8.428192104816e-005  ,1.231361414398e+000  
  8.528194393635e-005  ,1.230675815680e+000  
  8.628196682453e-005  ,1.229988199707e+000  
  8.728198971272e-005  ,1.229424123491e+000  
  8.828201260090e-005  ,1.228766671395e+000  
